id,display_title,original_title,overview,genres_list,director,cast_top3,release_year,vote_average,vote_count,weighted_rating
1452,Superman Returns,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","['Adventure', 'Fantasy', 'Action', 'Science Fiction']",Bryan Singer,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",2006.0,5.4,1400,5.792937313141737
10764,Quantum of Solace,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","['Adventure', 'Action', 'Thriller', 'Crime']",Marc Forster,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",2008.0,6.1,2965,6.097003829553691
58,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","['Adventure', 'Fantasy', 'Action']",Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",2006.0,7.0,5246,6.764418750335695
57201,The Lone Ranger,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","['Action', 'Adventure', 'Western']",Gore Verbinski,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",2013.0,5.9,2311,5.985141995198873
49521,Man of Steel,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Zack Snyder,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",2013.0,6.5,6359,6.408537852840925
2454,The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.","['Adventure', 'Family', 'Fantasy']",Andrew Adamson,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",2008.0,6.3,1630,6.189842058262657
24428,The Avengers,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['Science Fiction', 'Action', 'Adventure']",Joss Whedon,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",2012.0,7.4,11776,7.223399356187434
1865,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","['Adventure', 'Action', 'Fantasy']",Rob Marshall,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",2011.0,6.4,4948,6.316610897512407
41154,Men in Black 3,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.","['Action', 'Comedy', 'Science Fiction']",Barry Sonnenfeld,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",2012.0,6.2,4160,6.166952553160543
122917,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","['Action', 'Adventure', 'Fantasy']",Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",2014.0,7.1,4760,6.819205897623393
1930,The Amazing Spider-Man,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","['Action', 'Adventure', 'Fantasy']",Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",2012.0,6.5,6586,6.411002349707777
20662,Robin Hood,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","['Action', 'Adventure']",Ridley Scott,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",2010.0,6.2,1398,6.138749287751268
57158,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","['Adventure', 'Fantasy']",Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",2013.0,7.6,4524,7.1643166407139125
2268,The Golden Compass,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","['Adventure', 'Fantasy']",Chris Weitz,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",2007.0,5.8,1303,5.970983699903929
254,King Kong,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","['Adventure', 'Drama', 'Action']",Peter Jackson,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",2005.0,6.6,2337,6.376406618498395
597,Titanic,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","['Drama', 'Romance', 'Thriller']",James Cameron,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",1997.0,7.5,7562,7.224676417479916
271110,Captain America: Civil War,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['Adventure', 'Action', 'Science Fiction']",Anthony Russo,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",2016.0,7.1,7241,6.895934554582704
44833,Battleship,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.","['Thriller', 'Action', 'Adventure', 'Science Fiction']",Peter Berg,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",2012.0,5.5,2114,5.775439782126861
135397,Jurassic World,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['Action', 'Adventure', 'Science Fiction', 'Thriller']",Colin Trevorrow,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",2015.0,6.5,8662,6.428597786263209
37724,Skyfall,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.","['Action', 'Adventure', 'Thriller']",Sam Mendes,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",2012.0,6.9,7604,6.7427188209436375
558,Spider-Man 2,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.","['Action', 'Adventure', 'Fantasy']",Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",2004.0,6.7,4321,6.5185810622590195
68721,Iron Man 3,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","['Action', 'Adventure', 'Science Fiction']",Shane Black,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",2013.0,6.8,8806,6.677750572590114
12155,Alice in Wonderland,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","['Family', 'Fantasy', 'Adventure']",Tim Burton,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",2010.0,6.4,4645,6.312713729660087
36668,X-Men: The Last Stand,X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.","['Adventure', 'Action', 'Science Fiction', 'Thriller']",Brett Ratner,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']",2006.0,6.3,3525,6.228763134369654
62211,Monsters University,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,"['Animation', 'Family']",Dan Scanlon,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",2013.0,7.0,3528,6.6889997381630515
8373,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","['Science Fiction', 'Action', 'Adventure']",Michael Bay,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",2009.0,6.0,3138,6.034050356659071
91314,Transformers: Age of Extinction,Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.","['Science Fiction', 'Action', 'Adventure']",Michael Bay,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",2014.0,5.8,3095,5.9088758655041556
68728,Oz: The Great and Powerful,Oz: The Great and Powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.","['Fantasy', 'Adventure', 'Family']",Sam Raimi,"['James Franco', 'Mila Kunis', 'Rachel Weisz']",2013.0,5.7,3530,5.834298523746032
102382,The Amazing Spider-Man 2,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.","['Action', 'Adventure', 'Fantasy']",Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",2014.0,6.5,4179,6.375402697988865
20526,TRON: Legacy,TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.","['Adventure', 'Action', 'Science Fiction']",Joseph Kosinski,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']",2010.0,6.3,2841,6.218350257485618
49013,Cars 2,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,"['Animation', 'Family', 'Adventure', 'Comedy']",John Lasseter,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']",2011.0,5.8,2033,5.938742624083846
44912,Green Lantern,Green Lantern,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.","['Adventure', 'Action', 'Thriller', 'Science Fiction']",Martin Campbell,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']",2011.0,5.1,2487,5.521696997937347
10193,Toy Story 3,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","['Animation', 'Family', 'Comedy']",Lee Unkrich,"['Tom Hanks', 'Tim Allen', 'Ned Beatty']",2010.0,7.6,4597,7.169258817614788
534,Terminator Salvation,Terminator Salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.","['Action', 'Science Fiction', 'Thriller']",McG,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']",2009.0,5.9,2463,5.982133304244711
168259,Furious 7,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,['Action'],James Wan,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",2015.0,7.3,4176,6.930807427985867
72190,World War Z,World War Z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.","['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",Marc Forster,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove']",2013.0,6.7,5560,6.54896304537173
127585,X-Men: Days of Future Past,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Bryan Singer,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']",2014.0,7.5,6032,7.171153714535246
54138,Star Trek Into Darkness,Star Trek Into Darkness,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.","['Action', 'Adventure', 'Science Fiction']",J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']",2013.0,7.4,4418,7.015703630662713
81005,Jack the Giant Slayer,Jack the Giant Slayer,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.","['Action', 'Family', 'Fantasy']",Bryan Singer,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor']",2013.0,5.5,2598,5.745389999747138
64682,The Great Gatsby,The Great Gatsby,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.","['Drama', 'Romance']",Baz Luhrmann,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']",2013.0,7.3,3769,6.904010449562756
9543,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.","['Adventure', 'Fantasy', 'Action', 'Romance']",Mike Newell,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley']",2010.0,6.2,2317,6.152295373460606
68726,Pacific Rim,Pacific Rim,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.","['Action', 'Science Fiction', 'Adventure']",Guillermo del Toro,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day']",2013.0,6.7,4794,6.531519238115645
38356,Transformers: Dark of the Moon,Transformers: Dark of the Moon,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.","['Action', 'Science Fiction', 'Adventure']",Michael Bay,"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong']",2011.0,6.1,3299,6.097198620874023
217,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.","['Adventure', 'Action']",Steven Spielberg,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf']",2008.0,5.7,2495,5.866374716130106
105864,The Good Dinosaur,The Good Dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,"['Adventure', 'Animation', 'Family']",Peter Sohn,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright']",2015.0,6.6,1736,6.338811603311941
62177,Brave,Brave,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.","['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",Brenda Chapman,"['Kelly Macdonald', 'Julie Walters', 'Billy Connolly']",2012.0,6.7,4641,6.5275408517576015
188927,Star Trek Beyond,Star Trek Beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.","['Action', 'Adventure', 'Science Fiction']",Justin Lin,"['Chris Pine', 'Zachary Quinto', 'Karl Urban']",2016.0,6.6,2568,6.388128221422976
10681,WALL·E,WALL·E,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.","['Animation', 'Family']",Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",2008.0,7.8,6296,7.4140253976787704
5174,Rush Hour 3,Rush Hour 3,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.","['Action', 'Comedy', 'Crime', 'Thriller']",Brett Ratner,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada']",2007.0,6.1,783,6.094509878262837
14161,2012,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.","['Action', 'Adventure', 'Science Fiction']",Roland Emmerich,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor']",2009.0,5.6,4903,5.734216660467886
17979,A Christmas Carol,A Christmas Carol,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.","['Animation', 'Drama']",Robert Zemeckis,"['Gary Oldman', 'Jim Carrey', 'Steve Valentine']",2009.0,6.6,1095,6.28173729967894
